❯ python3 test/test.py
Best agent: Agent 9 @ Fitness: -29.99999999976875 @ Position: [-7.65491620e-07 -3.58631916e-07 -3.08815435e-07 -5.96363579e-07]
#################
Stats
#################
Runs:  60
Converged:  True
#################
Trace
#################
trace @ Agent 0:DifferentialEvolution @ fitness: 33343.797959067924 @ run: 0 @ iteration: 6
trace @ Bee 0:ArtificialBeeColony @ fitness: 27908.39993734635 @ run: 0 @ iteration: 16
trace @ Particle 4:ParticleSwarmOptimization @ fitness: 22370.859782740998 @ run: 0 @ iteration: 1
trace @ Agent 7:DifferentialEvolution @ fitness: 17095.850900678975 @ run: 1 @ iteration: 3
trace @ Bee 0:ArtificialBeeColony @ fitness: 15686.39137966299 @ run: 1 @ iteration: 0
trace @ Particle 6:ParticleSwarmOptimization @ fitness: 6483.73160633333 @ run: 1 @ iteration: 0
trace @ Agent 4:DifferentialEvolution @ fitness: 4208.946003321878 @ run: 2 @ iteration: 15
trace @ Bee 0:ArtificialBeeColony @ fitness: 3310.92434269657 @ run: 2 @ iteration: 1
trace @ Particle 0:ParticleSwarmOptimization @ fitness: 2694.535102431389 @ run: 2 @ iteration: 5
trace @ Agent 4:DifferentialEvolution @ fitness: 2017.9999179666902 @ run: 3 @ iteration: 0
trace @ Bee 6:ArtificialBeeColony @ fitness: 1347.655304615136 @ run: 3 @ iteration: 4
trace @ Particle 3:ParticleSwarmOptimization @ fitness: 1335.0696576864825 @ run: 3 @ iteration: 6
trace @ Agent 5:DifferentialEvolution @ fitness: 607.961298315842 @ run: 4 @ iteration: 10
trace @ Bee 0:ArtificialBeeColony @ fitness: 425.9570328746076 @ run: 4 @ iteration: 13
trace @ Agent 4:DifferentialEvolution @ fitness: 287.4454741250223 @ run: 5 @ iteration: 3
trace @ Bee 5:ArtificialBeeColony @ fitness: 10.056842849228273 @ run: 5 @ iteration: 5
trace @ Agent 2:DifferentialEvolution @ fitness: -6.7126766785709195 @ run: 6 @ iteration: 26
trace @ Agent 1:DifferentialEvolution @ fitness: -12.110290852657188 @ run: 7 @ iteration: 9
trace @ Agent 2:DifferentialEvolution @ fitness: -12.169042733268286 @ run: 8 @ iteration: 1
trace @ Agent 2:DifferentialEvolution @ fitness: -19.8939399819833 @ run: 9 @ iteration: 0
trace @ Agent 2:DifferentialEvolution @ fitness: -27.670182245665544 @ run: 10 @ iteration: 0
trace @ Agent 2:DifferentialEvolution @ fitness: -27.754567344497158 @ run: 11 @ iteration: 34
